plastic_type,microorganism,degradation_rate,days,temperature,pH
Nylon,Halomonas titanicae,28,288,37,8
Nylon,Pseudomonas aeruginosa,69,26,19,9
Polyvinyl Chloride,Thermobifida fusca,24,56,34,6
Polyvinyl Chloride,Alcanivorax borkumensis,94,253,40,9
Polycarbonate,Sulfolobus acidocaldarius,21,122,30,7
Polystyrene,Citrobacter koseri,65,106,36,6
Polyethylene,Citrobacter koseri,44,130,26,8
Polyethylene Terephthalate (PET),Acidithiobacillus ferrooxidans,68,337,10,8
Polyethylene Terephthalate (PET),Pseudomonas aeruginosa,90,158,40,6
Polyethylene,Ochrobactrum sp.,88,231,27,8
Polycarbonate,Fusarium solani,71,308,19,6
Polypropylene,Sulfolobus acidocaldarius,0,91,35,5
Polypropylene,Citrobacter koseri,83,22,30,8
Polycarbonate,Sulfolobus acidocaldarius,43,290,13,6
Polypropylene,Bacillus alcalophilus,86,110,10,6
Polyvinyl Chloride,Sulfolobus acidocaldarius,95,49,13,8
Polyethylene Terephthalate (PET),Streptomyces coelicolor,74,129,13,5
Polycarbonate,Alcanivorax borkumensis,38,73,35,8
Polyethylene Terephthalate (PET),Citrobacter koseri,53,340,13,6
Polyethylene,Sulfolobus acidocaldarius,87,53,26,5
Nylon,Pseudomonas aeruginosa,74,356,18,9
Polyvinyl Chloride,Aspergillus niger,28,168,39,7
Polyurethane,Streptomyces coelicolor,53,45,28,8
Polyvinyl Chloride,Streptomyces coelicolor,89,105,22,6
Polycarbonate,Fusarium solani,15,150,13,5
Polyurethane,Sulfolobus acidocaldarius,98,146,14,5
Nylon,Acidithiobacillus ferrooxidans,19,204,38,9
Polycarbonate,Fusarium solani,45,362,22,8
Polystyrene,Ideonella sakaiensis,66,299,32,5
Polyethylene Terephthalate (PET),Fusarium solani,64,167,25,9
Nylon,Aspergillus niger,57,201,31,6
Polyethylene Terephthalate (PET),Bacillus alcalophilus,52,134,14,9
Polypropylene,Sulfolobus acidocaldarius,0,211,17,8
Polystyrene,Halomonas titanicae,80,48,25,9
Polystyrene,Thermobifida fusca,65,126,39,5
Nylon,Citrobacter koseri,28,239,10,5
Polystyrene,Fusarium solani,83,7,32,7
Polyurethane,Alcanivorax borkumensis,69,272,37,9
Polystyrene,Exiguobacterium sp.,7,37,15,6
Polyethylene Terephthalate (PET),Alcanivorax borkumensis,28,211,20,8
Polyethylene Terephthalate (PET),Aspergillus niger,50,165,25,7
Polycarbonate,Aspergillus niger,32,125,14,9
Polyethylene Terephthalate (PET),Pseudomonas aeruginosa,2,337,25,6
Polycarbonate,Ideonella sakaiensis,59,192,16,7
Polyethylene Terephthalate (PET),Ideonella sakaiensis,34,218,28,5
Polyurethane,Bacillus alcalophilus,68,214,10,8
Polyethylene,Acidithiobacillus ferrooxidans,90,62,18,9
Polycarbonate,Citrobacter koseri,75,328,27,6
Polyvinyl Chloride,Bacillus subtilis,83,161,22,5
Polypropylene,Fusarium solani,19,66,35,7
Nylon,Alcanivorax borkumensis,72,286,24,8
Polyethylene Terephthalate (PET),Exiguobacterium sp.,38,239,12,7
Polystyrene,Aspergillus niger,3,20,33,7
Polyethylene,Aspergillus niger,18,188,37,6
Polyethylene Terephthalate (PET),Bacillus alcalophilus,90,82,19,5
Polystyrene,Exiguobacterium sp.,44,363,18,9
Polypropylene,Ochrobactrum sp.,42,202,22,6
Polypropylene,Exiguobacterium sp.,12,132,25,8
Polypropylene,Bacillus alcalophilus,12,37,12,7
Polystyrene,Aspergillus niger,59,132,31,8
Polyethylene Terephthalate (PET),Citrobacter koseri,56,77,32,6
Polypropylene,Sulfolobus acidocaldarius,85,89,24,6
Polyurethane,Sulfolobus acidocaldarius,91,253,26,9
Polycarbonate,Bacillus alcalophilus,51,344,23,7
Polystyrene,Exiguobacterium sp.,52,194,16,6
Polystyrene,Fusarium solani,85,176,29,8
Polyethylene Terephthalate (PET),Bacillus alcalophilus,42,33,25,9
Polystyrene,Citrobacter koseri,82,58,30,8
Polystyrene,Bacillus alcalophilus,71,201,17,7
Polypropylene,Streptomyces coelicolor,71,28,13,9
Polyethylene Terephthalate (PET),Ideonella sakaiensis,41,35,40,9
Polypropylene,Alcanivorax borkumensis,89,125,29,9
Polycarbonate,Exiguobacterium sp.,25,321,33,5
Polyethylene,Acidithiobacillus ferrooxidans,22,42,24,9
Polycarbonate,Pseudomonas aeruginosa,42,85,14,8
Polyethylene,Thermobifida fusca,76,188,22,8
Polypropylene,Pseudomonas aeruginosa,27,111,15,7
Polycarbonate,Exiguobacterium sp.,8,271,37,6
Polyethylene Terephthalate (PET),Acidithiobacillus ferrooxidans,19,325,36,6
Nylon,Bacillus subtilis,55,105,39,5
Polypropylene,Citrobacter koseri,82,320,14,9
Polyethylene,Streptomyces coelicolor,38,41,26,5
Polyurethane,Streptomyces coelicolor,50,215,16,7
Polyethylene,Thermobifida fusca,11,71,15,7
Polyurethane,Aspergillus niger,78,56,11,6
Polystyrene,Alcanivorax borkumensis,94,236,20,7
Polycarbonate,Sulfolobus acidocaldarius,54,281,16,9
Polyurethane,Halomonas titanicae,77,105,31,8
Polyethylene,Citrobacter koseri,10,162,30,7
Polystyrene,Thermobifida fusca,25,191,17,5
Nylon,Halomonas titanicae,41,9,14,9
Polyethylene Terephthalate (PET),Ochrobactrum sp.,26,60,36,7
Polyethylene Terephthalate (PET),Halomonas titanicae,10,305,27,7
Polyethylene Terephthalate (PET),Exiguobacterium sp.,37,225,31,9
Polyurethane,Thermobifida fusca,97,307,25,7
Nylon,Pseudomonas aeruginosa,42,188,23,8
Polyurethane,Pseudomonas aeruginosa,18,70,21,6
Polycarbonate,Sulfolobus acidocaldarius,63,293,26,9
Polyurethane,Thermobifida fusca,5,287,14,5
Nylon,Exiguobacterium sp.,45,169,23,7
Nylon,Halomonas titanicae,41,62,15,6
Polycarbonate,Acidithiobacillus ferrooxidans,91,349,24,5
Nylon,Ochrobactrum sp.,64,14,16,5
Polyethylene,Bacillus subtilis,98,164,23,8
Nylon,Ideonella sakaiensis,71,245,27,6
Polyethylene Terephthalate (PET),Fusarium solani,58,335,10,9
Polyethylene,Pseudomonas aeruginosa,51,8,15,6
Polyethylene,Citrobacter koseri,46,154,12,6
Polycarbonate,Acidithiobacillus ferrooxidans,6,36,14,5
Polyvinyl Chloride,Citrobacter koseri,10,48,21,8
Polyvinyl Chloride,Aspergillus niger,60,85,40,8
Nylon,Thermobifida fusca,67,28,20,6
Polyethylene,Bacillus alcalophilus,24,196,22,6
Polyvinyl Chloride,Fusarium solani,11,208,25,7
Polyvinyl Chloride,Pseudomonas aeruginosa,25,204,40,5
Nylon,Ochrobactrum sp.,11,307,27,9
Polyvinyl Chloride,Streptomyces coelicolor,42,104,40,9
Polyurethane,Pseudomonas aeruginosa,50,230,26,8
Polystyrene,Acidithiobacillus ferrooxidans,36,101,26,5
Polycarbonate,Aspergillus niger,45,29,38,8
Polystyrene,Citrobacter koseri,52,127,20,9
Nylon,Halomonas titanicae,87,338,29,6
Polyethylene Terephthalate (PET),Streptomyces coelicolor,79,10,19,5
Polycarbonate,Exiguobacterium sp.,12,106,38,5
Nylon,Alcanivorax borkumensis,88,167,25,7
Polyethylene,Halomonas titanicae,53,257,11,6
Polyethylene Terephthalate (PET),Alcanivorax borkumensis,56,295,26,6
Polystyrene,Fusarium solani,3,277,31,8
Nylon,Bacillus subtilis,74,65,39,5
Polyethylene,Bacillus alcalophilus,95,271,29,8
Polycarbonate,Bacillus subtilis,48,188,19,6
Polycarbonate,Streptomyces coelicolor,6,317,22,7
Polypropylene,Sulfolobus acidocaldarius,10,138,21,5
Polyethylene,Streptomyces coelicolor,91,343,24,6
Polyurethane,Bacillus subtilis,53,105,16,7
Polyvinyl Chloride,Pseudomonas aeruginosa,86,34,36,9
Polyethylene Terephthalate (PET),Acidithiobacillus ferrooxidans,44,110,31,6
Polyethylene,Citrobacter koseri,22,33,30,9
Polypropylene,Pseudomonas aeruginosa,27,354,35,8
Polyvinyl Chloride,Pseudomonas aeruginosa,56,231,37,9
Polyvinyl Chloride,Acidithiobacillus ferrooxidans,25,317,22,6
Nylon,Acidithiobacillus ferrooxidans,24,266,21,9
Polyvinyl Chloride,Fusarium solani,53,182,21,5
Polyurethane,Halomonas titanicae,28,340,37,6
Polycarbonate,Sulfolobus acidocaldarius,82,65,11,7
Polypropylene,Sulfolobus acidocaldarius,96,333,14,9
Polyvinyl Chloride,Pseudomonas aeruginosa,35,1,34,5
Nylon,Alcanivorax borkumensis,13,133,34,8
Polyurethane,Fusarium solani,77,80,11,8
Polystyrene,Thermobifida fusca,34,271,32,9
Polycarbonate,Thermobifida fusca,29,241,35,8
Polycarbonate,Ochrobactrum sp.,91,28,39,7
Polypropylene,Pseudomonas aeruginosa,16,223,29,6
Polycarbonate,Bacillus alcalophilus,66,23,22,5
Polyvinyl Chloride,Citrobacter koseri,79,109,38,9
Nylon,Acidithiobacillus ferrooxidans,29,107,12,8
Polycarbonate,Halomonas titanicae,92,145,20,6
Polycarbonate,Exiguobacterium sp.,44,354,25,7
Polystyrene,Acidithiobacillus ferrooxidans,78,139,10,8
Polystyrene,Bacillus alcalophilus,88,284,28,8
Polyethylene Terephthalate (PET),Alcanivorax borkumensis,50,298,20,5
Polyurethane,Streptomyces coelicolor,46,99,18,7
Polyvinyl Chloride,Ideonella sakaiensis,52,317,23,7
Polycarbonate,Streptomyces coelicolor,63,123,40,9
Polyethylene,Bacillus subtilis,37,320,18,5
Polycarbonate,Bacillus alcalophilus,63,287,16,9
Nylon,Bacillus subtilis,86,81,25,5
Polyethylene Terephthalate (PET),Pseudomonas aeruginosa,88,10,12,7
Polyurethane,Exiguobacterium sp.,6,8,38,5
Polyethylene,Aspergillus niger,21,205,28,5
Polyethylene Terephthalate (PET),Acidithiobacillus ferrooxidans,80,315,13,5
Polypropylene,Aspergillus niger,81,197,16,6
Polyurethane,Alcanivorax borkumensis,40,198,32,6
Polycarbonate,Pseudomonas aeruginosa,73,30,37,7
Polycarbonate,Sulfolobus acidocaldarius,9,20,21,5
Polyurethane,Acidithiobacillus ferrooxidans,56,48,39,7
Polycarbonate,Bacillus subtilis,6,130,27,6
Polyvinyl Chloride,Sulfolobus acidocaldarius,49,293,37,5
Polyurethane,Halomonas titanicae,90,132,40,9
Polyethylene Terephthalate (PET),Ochrobactrum sp.,51,356,14,6
Polyurethane,Exiguobacterium sp.,32,54,32,6
Polyethylene,Ochrobactrum sp.,0,281,32,6
Polycarbonate,Exiguobacterium sp.,52,265,31,5
Polyvinyl Chloride,Streptomyces coelicolor,59,215,35,8
Polyvinyl Chloride,Fusarium solani,33,290,19,9
Polypropylene,Acidithiobacillus ferrooxidans,3,43,21,9
Polyethylene Terephthalate (PET),Bacillus subtilis,16,74,17,7
Polystyrene,Ochrobactrum sp.,3,350,28,5
Polystyrene,Alcanivorax borkumensis,42,278,24,6
Polyurethane,Aspergillus niger,89,326,10,8
Polypropylene,Thermobifida fusca,3,242,12,5
Nylon,Ideonella sakaiensis,0,130,36,5
Polyurethane,Alcanivorax borkumensis,70,350,27,8
Polypropylene,Sulfolobus acidocaldarius,93,194,27,6
Polyethylene Terephthalate (PET),Sulfolobus acidocaldarius,49,32,39,5
Polyethylene Terephthalate (PET),Ochrobactrum sp.,72,106,39,9
Polyethylene Terephthalate (PET),Ideonella sakaiensis,60,204,11,9
Polyethylene Terephthalate (PET),Bacillus alcalophilus,34,1,14,8
Polyethylene Terephthalate (PET),Halomonas titanicae,7,245,38,6
Polypropylene,Acidithiobacillus ferrooxidans,23,72,10,8
Polypropylene,Exiguobacterium sp.,82,306,19,5
Polyvinyl Chloride,Citrobacter koseri,35,15,29,9
Polyethylene,Thermobifida fusca,49,53,39,7
Polystyrene,Bacillus subtilis,42,8,19,8
Polycarbonate,Alcanivorax borkumensis,26,330,14,7
Polyethylene Terephthalate (PET),Bacillus subtilis,31,46,27,7
Nylon,Sulfolobus acidocaldarius,77,325,30,9
Polycarbonate,Fusarium solani,17,114,35,8
Polypropylene,Streptomyces coelicolor,27,147,24,7
Nylon,Aspergillus niger,28,166,29,5
Nylon,Halomonas titanicae,15,139,17,6
Nylon,Fusarium solani,98,117,26,6
Polyvinyl Chloride,Halomonas titanicae,46,299,40,9
Polypropylene,Bacillus alcalophilus,58,276,21,8
Nylon,Citrobacter koseri,30,277,30,8
Polyethylene Terephthalate (PET),Ochrobactrum sp.,3,338,39,6
Polyurethane,Ochrobactrum sp.,36,313,39,5
Nylon,Sulfolobus acidocaldarius,16,178,36,6
Polyvinyl Chloride,Streptomyces coelicolor,38,330,21,6
Polycarbonate,Ideonella sakaiensis,47,354,35,8
Polypropylene,Acidithiobacillus ferrooxidans,45,154,10,7
Polyethylene,Ideonella sakaiensis,89,201,35,5
Polyvinyl Chloride,Fusarium solani,47,115,35,8
Nylon,Halomonas titanicae,38,159,13,6
Polypropylene,Exiguobacterium sp.,3,42,17,7
Polyurethane,Bacillus alcalophilus,29,247,10,5
Nylon,Exiguobacterium sp.,29,68,36,9
Polyvinyl Chloride,Streptomyces coelicolor,21,326,24,5
Polystyrene,Acidithiobacillus ferrooxidans,74,334,27,5
Polyethylene Terephthalate (PET),Acidithiobacillus ferrooxidans,65,196,10,6
Polyethylene,Fusarium solani,11,90,20,6
Polycarbonate,Bacillus subtilis,93,111,32,9
Polyvinyl Chloride,Bacillus alcalophilus,35,359,11,9
Polypropylene,Thermobifida fusca,17,145,10,9
Polyethylene,Acidithiobacillus ferrooxidans,89,275,40,8
Polyethylene,Acidithiobacillus ferrooxidans,52,179,21,8
Polyethylene,Fusarium solani,70,241,25,6
Nylon,Sulfolobus acidocaldarius,0,326,31,6
Polyethylene Terephthalate (PET),Pseudomonas aeruginosa,57,319,31,9
Nylon,Bacillus alcalophilus,89,331,19,8
Polypropylene,Exiguobacterium sp.,86,153,27,7
Nylon,Streptomyces coelicolor,89,104,24,8
Polystyrene,Acidithiobacillus ferrooxidans,5,75,26,6
Polyethylene Terephthalate (PET),Acidithiobacillus ferrooxidans,69,128,39,8
Polyethylene Terephthalate (PET),Ochrobactrum sp.,43,199,19,6
Polypropylene,Citrobacter koseri,71,154,12,9
Polycarbonate,Sulfolobus acidocaldarius,23,56,35,9
Polystyrene,Acidithiobacillus ferrooxidans,85,278,39,9
Polyvinyl Chloride,Pseudomonas aeruginosa,18,345,30,7
Nylon,Citrobacter koseri,100,19,25,7
Polyurethane,Ochrobactrum sp.,17,159,15,6
Nylon,Aspergillus niger,94,26,12,5
Polyethylene,Sulfolobus acidocaldarius,100,169,18,7
Nylon,Streptomyces coelicolor,29,23,20,6
Polyvinyl Chloride,Halomonas titanicae,41,47,30,8
Nylon,Bacillus alcalophilus,32,13,22,9
Polystyrene,Fusarium solani,73,217,27,9
Polystyrene,Streptomyces coelicolor,100,322,35,9
Polyethylene Terephthalate (PET),Thermobifida fusca,11,194,31,6
Polypropylene,Bacillus alcalophilus,93,144,37,9
Polycarbonate,Citrobacter koseri,26,73,33,7
Polyurethane,Bacillus subtilis,38,156,36,8
Polyethylene,Fusarium solani,8,77,31,9
Nylon,Alcanivorax borkumensis,20,169,13,6
Nylon,Exiguobacterium sp.,75,287,31,8
Polyvinyl Chloride,Aspergillus niger,28,85,33,9
Polypropylene,Sulfolobus acidocaldarius,32,182,17,5
Polystyrene,Acidithiobacillus ferrooxidans,61,315,22,9
Polyurethane,Bacillus subtilis,14,297,19,7
Polyethylene Terephthalate (PET),Ochrobactrum sp.,1,112,11,8
Polystyrene,Thermobifida fusca,51,230,17,7
Polyethylene,Bacillus subtilis,43,96,15,5
Polypropylene,Streptomyces coelicolor,53,168,25,5
Polyethylene,Aspergillus niger,17,156,27,7
Polycarbonate,Halomonas titanicae,2,105,26,8
Polyethylene Terephthalate (PET),Ideonella sakaiensis,6,193,15,5
Polycarbonate,Bacillus alcalophilus,42,330,22,5
Polyvinyl Chloride,Bacillus alcalophilus,81,132,32,9
Polyethylene,Streptomyces coelicolor,37,355,23,6
Polyvinyl Chloride,Pseudomonas aeruginosa,36,138,39,5
Nylon,Pseudomonas aeruginosa,57,331,35,8
Polycarbonate,Acidithiobacillus ferrooxidans,32,270,30,8
Polypropylene,Thermobifida fusca,58,38,39,9
Polyethylene,Alcanivorax borkumensis,94,45,19,8
Polyurethane,Exiguobacterium sp.,10,163,33,9
Polyethylene Terephthalate (PET),Fusarium solani,67,331,20,5
Polystyrene,Halomonas titanicae,81,253,22,5
Polypropylene,Acidithiobacillus ferrooxidans,67,169,21,5
Polypropylene,Aspergillus niger,97,285,18,5
Polyvinyl Chloride,Pseudomonas aeruginosa,92,274,13,6
Polycarbonate,Alcanivorax borkumensis,87,20,16,6
Polyethylene,Alcanivorax borkumensis,21,239,33,5
Polyethylene,Thermobifida fusca,65,270,38,8
Nylon,Streptomyces coelicolor,43,310,31,9
Nylon,Halomonas titanicae,5,31,11,7
Polyethylene Terephthalate (PET),Citrobacter koseri,41,314,16,9
Polyvinyl Chloride,Fusarium solani,24,104,38,7
Polypropylene,Thermobifida fusca,56,170,18,7
Polyethylene,Exiguobacterium sp.,84,186,14,5
Polyurethane,Thermobifida fusca,54,128,24,7
Polyvinyl Chloride,Thermobifida fusca,15,210,27,5
Polyethylene Terephthalate (PET),Sulfolobus acidocaldarius,94,281,13,6
Polyethylene Terephthalate (PET),Streptomyces coelicolor,13,253,28,8
Polyvinyl Chloride,Fusarium solani,38,19,29,7
Polyethylene Terephthalate (PET),Sulfolobus acidocaldarius,27,200,35,8
Polyvinyl Chloride,Sulfolobus acidocaldarius,95,220,16,5
Polystyrene,Ochrobactrum sp.,91,136,35,7
Polyvinyl Chloride,Halomonas titanicae,50,223,17,9
Polycarbonate,Ochrobactrum sp.,48,3,26,6
Polyvinyl Chloride,Halomonas titanicae,8,236,22,6
Polyethylene Terephthalate (PET),Acidithiobacillus ferrooxidans,57,342,33,7
Polyethylene,Aspergillus niger,44,228,30,6
Polycarbonate,Alcanivorax borkumensis,21,142,37,9
Polyethylene Terephthalate (PET),Fusarium solani,31,9,32,8
Nylon,Streptomyces coelicolor,68,190,20,9
Nylon,Acidithiobacillus ferrooxidans,86,350,36,6
Polyethylene,Ideonella sakaiensis,68,165,10,8
Polyethylene,Thermobifida fusca,41,139,11,9
Polycarbonate,Bacillus alcalophilus,52,276,26,5
Polystyrene,Streptomyces coelicolor,95,291,14,5
Polyethylene,Aspergillus niger,58,53,39,8
Nylon,Exiguobacterium sp.,73,175,39,8
Polyvinyl Chloride,Bacillus subtilis,38,110,15,8
Polyethylene Terephthalate (PET),Bacillus subtilis,14,203,35,5
Nylon,Alcanivorax borkumensis,70,136,34,9
Nylon,Bacillus subtilis,28,4,33,8
Polystyrene,Bacillus subtilis,2,155,16,5
Polycarbonate,Bacillus alcalophilus,82,172,37,8
Polycarbonate,Pseudomonas aeruginosa,9,358,30,8
Polypropylene,Ochrobactrum sp.,91,47,39,8
Polystyrene,Exiguobacterium sp.,28,94,24,5
Polyvinyl Chloride,Ochrobactrum sp.,78,48,28,9
Polycarbonate,Halomonas titanicae,34,240,25,5
Polyethylene Terephthalate (PET),Sulfolobus acidocaldarius,5,347,34,5
Polyethylene,Pseudomonas aeruginosa,11,213,22,8
Polystyrene,Ochrobactrum sp.,37,340,14,7
Polyethylene,Streptomyces coelicolor,76,324,12,7
Nylon,Streptomyces coelicolor,92,139,12,7
Polyethylene Terephthalate (PET),Ochrobactrum sp.,18,205,28,5
Polyethylene Terephthalate (PET),Thermobifida fusca,66,73,23,8
Nylon,Ochrobactrum sp.,7,4,25,7
Polystyrene,Bacillus subtilis,7,76,31,6
Nylon,Halomonas titanicae,83,329,26,6
Polyethylene,Aspergillus niger,46,77,36,6
Polypropylene,Fusarium solani,3,304,13,9
Polyethylene Terephthalate (PET),Pseudomonas aeruginosa,50,256,22,8
Polyurethane,Pseudomonas aeruginosa,84,102,17,5
Polyurethane,Ochrobactrum sp.,66,106,28,5
Polyethylene,Citrobacter koseri,44,333,14,8
Polyvinyl Chloride,Exiguobacterium sp.,7,39,11,9
Polycarbonate,Alcanivorax borkumensis,86,314,24,8
Nylon,Exiguobacterium sp.,15,275,11,9
Nylon,Fusarium solani,76,88,20,7
Polyvinyl Chloride,Streptomyces coelicolor,66,211,22,7
Polyvinyl Chloride,Ochrobactrum sp.,8,77,32,9
Polyethylene,Streptomyces coelicolor,59,77,19,8
Polyethylene,Streptomyces coelicolor,77,28,12,7
Polyvinyl Chloride,Citrobacter koseri,76,245,14,8
Polyethylene Terephthalate (PET),Streptomyces coelicolor,70,66,12,7
Polyethylene,Fusarium solani,14,266,15,8
Polypropylene,Acidithiobacillus ferrooxidans,70,205,22,8
Polyethylene,Halomonas titanicae,97,58,19,6
Nylon,Ideonella sakaiensis,40,201,28,9
Polyethylene,Alcanivorax borkumensis,21,225,17,5
Polyethylene Terephthalate (PET),Ochrobactrum sp.,23,142,27,9
Polyvinyl Chloride,Thermobifida fusca,100,84,12,8
Nylon,Fusarium solani,43,143,33,8
Polyethylene,Bacillus subtilis,0,352,33,9
Polyethylene Terephthalate (PET),Acidithiobacillus ferrooxidans,9,33,26,8
Polypropylene,Alcanivorax borkumensis,79,152,17,7
Polyethylene,Fusarium solani,71,158,19,8
Polyethylene Terephthalate (PET),Acidithiobacillus ferrooxidans,55,141,11,9
Polypropylene,Streptomyces coelicolor,88,251,21,9
Polyvinyl Chloride,Thermobifida fusca,49,303,32,9
Polyethylene,Halomonas titanicae,11,112,15,6
Polypropylene,Ochrobactrum sp.,88,144,11,6
Nylon,Pseudomonas aeruginosa,80,209,30,6
Polyvinyl Chloride,Exiguobacterium sp.,59,224,32,6
Nylon,Sulfolobus acidocaldarius,25,43,33,6
Polyurethane,Ideonella sakaiensis,77,264,12,6
Polystyrene,Halomonas titanicae,40,244,26,6
Polyethylene,Pseudomonas aeruginosa,35,3,38,9
Polypropylene,Aspergillus niger,22,125,16,5
Polystyrene,Ochrobactrum sp.,42,268,38,6
Polystyrene,Fusarium solani,5,84,30,9
Polypropylene,Aspergillus niger,68,16,14,5
Polyvinyl Chloride,Pseudomonas aeruginosa,42,334,32,6
Polyethylene,Halomonas titanicae,24,59,10,5
Polyurethane,Fusarium solani,17,177,17,5
Nylon,Ochrobactrum sp.,61,63,21,7
Polyethylene Terephthalate (PET),Bacillus subtilis,12,49,23,8
Nylon,Sulfolobus acidocaldarius,42,307,25,7
Polyethylene Terephthalate (PET),Streptomyces coelicolor,77,246,19,5
Nylon,Fusarium solani,27,289,24,9
Polypropylene,Bacillus subtilis,17,286,30,6
Polyurethane,Ochrobactrum sp.,58,332,33,8
Polyethylene,Ochrobactrum sp.,59,15,35,6
Polyethylene Terephthalate (PET),Fusarium solani,62,338,24,9
Polyethylene,Halomonas titanicae,56,255,19,8
Polyethylene,Bacillus subtilis,91,92,30,7
Polyethylene,Halomonas titanicae,50,279,37,5
Polycarbonate,Acidithiobacillus ferrooxidans,55,206,16,9
Polyvinyl Chloride,Pseudomonas aeruginosa,26,94,35,5
Nylon,Bacillus alcalophilus,31,225,12,5
Polyethylene,Fusarium solani,8,301,11,6
Nylon,Ideonella sakaiensis,95,318,15,9
Polyethylene,Ochrobactrum sp.,83,199,30,5
Polyethylene Terephthalate (PET),Exiguobacterium sp.,91,271,18,7
Polyvinyl Chloride,Fusarium solani,96,234,19,8
Polyvinyl Chloride,Pseudomonas aeruginosa,67,46,13,9
Polypropylene,Thermobifida fusca,45,64,36,6
Polycarbonate,Thermobifida fusca,97,230,12,9
Polypropylene,Alcanivorax borkumensis,66,249,18,6
Polypropylene,Ideonella sakaiensis,25,246,33,8
Polypropylene,Ochrobactrum sp.,7,75,31,7
Polypropylene,Aspergillus niger,5,157,26,5
Polypropylene,Ochrobactrum sp.,79,223,23,9
Polyurethane,Acidithiobacillus ferrooxidans,23,190,19,6
Polyvinyl Chloride,Streptomyces coelicolor,47,52,22,8
Polypropylene,Bacillus subtilis,93,88,21,5
Polyethylene,Ochrobactrum sp.,44,313,36,8
Polyvinyl Chloride,Bacillus alcalophilus,12,339,10,7
Polyvinyl Chloride,Sulfolobus acidocaldarius,68,66,37,5
Polystyrene,Thermobifida fusca,24,150,31,5
Polyurethane,Sulfolobus acidocaldarius,19,20,38,5
Polypropylene,Sulfolobus acidocaldarius,81,33,28,6
Nylon,Halomonas titanicae,81,328,28,5
Polyethylene Terephthalate (PET),Sulfolobus acidocaldarius,65,281,15,8
Polycarbonate,Streptomyces coelicolor,73,46,22,6
Polyethylene,Acidithiobacillus ferrooxidans,44,73,28,5
Nylon,Aspergillus niger,46,354,22,8
Polyurethane,Sulfolobus acidocaldarius,62,313,36,8
Polyethylene Terephthalate (PET),Ideonella sakaiensis,75,343,35,9
Polyurethane,Fusarium solani,76,133,31,8
Polyethylene,Ideonella sakaiensis,54,55,30,7
Polyvinyl Chloride,Fusarium solani,74,61,13,5
Polyethylene Terephthalate (PET),Halomonas titanicae,18,345,33,5
Polyvinyl Chloride,Streptomyces coelicolor,34,8,11,5
Polyethylene,Aspergillus niger,52,272,24,8
Nylon,Bacillus alcalophilus,25,246,21,8
Polyethylene,Pseudomonas aeruginosa,13,176,39,5
Nylon,Aspergillus niger,44,116,36,6
Polyethylene Terephthalate (PET),Pseudomonas aeruginosa,43,317,16,6
Polyethylene Terephthalate (PET),Ideonella sakaiensis,87,271,29,7
Polypropylene,Alcanivorax borkumensis,64,193,27,9
Polyurethane,Thermobifida fusca,50,150,40,7
Polypropylene,Pseudomonas aeruginosa,42,131,32,5
Polyurethane,Acidithiobacillus ferrooxidans,85,102,22,5
Polypropylene,Exiguobacterium sp.,22,310,26,5
